,index,access,bridge,highway,junction,lanes,length,maxspeed,oneway,tunnel,geometry,name,osmid,ref,service,width
2676,2676,missing,missing,residential,missing,4.0,121.466,25.0,True,missing,,West 10th Street,216959249,,,
2677,2677,missing,missing,residential,missing,4.0,73.395,25.0,True,missing,,Waverly Place,164420607,,,
2678,2678,missing,missing,residential,missing,4.0,33.953,25.0,True,missing,,Charles Street,480112480,,,
2679,2679,missing,missing,residential,missing,4.0,18.573,20.0,True,missing,,Perry Street,5673052,,,
2680,2680,missing,missing,residential,missing,4.0,25.87,20.0,True,missing,,Waverly Place,350612242,,,
2681,2681,missing,missing,residential,missing,4.0,135.601,20.0,True,missing,,West 11th Street,5671668,,,
2682,2682,missing,missing,residential,missing,4.0,76.664,20.0,True,missing,,Waverly Place,46610734,,,
2683,2683,missing,missing,residential,missing,4.0,57.826,20.0,True,missing,,Bank Street,5670941,,,
2684,2684,missing,missing,residential,missing,4.0,71.661,20.0,True,missing,,Waverly Place,46610734,,,
2685,2685,missing,missing,residential,missing,4.0,145.989,25.0,True,missing,,Waverly Place,5670171,,,
2686,2686,missing,missing,residential,missing,4.0,77.48400000000001,25.0,True,missing,"LINESTRING (584558.8413343551 4509513.28168762, 584555.4076869597 4509507.780276992, 584522.0747237089 4509454.354211001, 584517.8447877665 4509447.578099096)",Washington Square West,157012398,,,
2687,2687,missing,missing,residential,missing,4.0,39.696,25.0,True,missing,,Waverly Place,5670171,,,
2688,2688,missing,missing,residential,missing,4.0,86.545,25.0,True,missing,"LINESTRING (584301.404218964 4509674.872260476, 584230.1167090285 4509642.309889965, 584222.5551948112 4509638.860039037)",Grove Street,5672159,,,
2689,2689,missing,missing,residential,missing,4.0,80.78,25.0,True,missing,,Waverly Place,5670172,,,
2690,2690,missing,missing,residential,missing,2.0,75.511,25.0,True,missing,,Mercer Street,25199883,,,
2691,2691,missing,missing,residential,missing,4.0,76.096,25.0,True,missing,,Waverly Place,5670172,,,
2692,2692,missing,missing,residential,missing,4.0,123.403,25.0,True,missing,,Greene Street,5672873,,,
2693,2693,missing,missing,residential,missing,4.0,75.568,25.0,True,missing,"LINESTRING (584817.4845720555 4509350.614478765, 584824.7757239253 4509345.9572797, 584881.2502569978 4509309.911041791)",Waverly Place,5670172,,,
2694,2694,missing,missing,residential,missing,4.0,117.861,25.0,True,missing,"LINESTRING (584817.4845720555 4509350.614478765, 584822.1702992027 4509357.395980863, 584855.0786518448 4509404.978847438, 584882.6931996775 4509448.704330758)",University Place,5672896,,,
2695,2695,missing,missing,secondary,missing,4.0,141.10600000000002,25.0,False,missing,"LINESTRING (584817.4845720555 4509350.614478765, 584810.5941293054 4509354.943204361, 584705.7037579289 4509421.145158642, 584698.0053960539 4509425.975453463)",Washington Square North,352705236,,,
2696,2696,missing,missing,residential,missing,4.0,129.971,25.0,True,missing,"LINESTRING (584739.8141575559 4507200.4454738, 584740.9101065376 4507194.729309454, 584763.2736989696 4507078.490474897, 584764.3837846216 4507073.018721778)",Catherine Street,5670536,,,
2697,2697,missing,missing,residential,missing,4.0,213.839,25.0,True,missing,"LINESTRING (584739.8141575559 4507200.4454738, 584750.7043083498 4507201.868811192, 584952.3012668852 4507228.299302711)",Monroe Street,5671584,,,
2698,2698,missing,missing,residential,missing,4.0,26.028,25.0,True,missing,"LINESTRING (584775.6253307556 4507021.522415046, 584787.3823176731 4507023.999300404, 584801.1450196981 4507026.90990588)",Water Street,5673077,,,
2699,2699,missing,missing,residential,missing,4.0,64.40299999999999,25.0,True,missing,"LINESTRING (584775.6253307556 4507021.522415046, 584776.9877560585 4507015.409625521, 584786.8278514319 4506971.235807794, 584789.6232331996 4506958.755690927)",Catherine Slip,46224832,,,
2700,2700,missing,missing,residential,missing,4.0,73.361,25.0,True,missing,,John Street,5670877,,,
