,access,bridge,geometry,highway,junction,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,width
992,,,"LINESTRING (586654.825822561 4516329.823875028, 586632.3393966593 4516287.305018527, 586617.9756624665 4516260.14704966)",primary,,,78.879,,Broadway,True,"[421853609, 421853618]",,,,
993,,,"LINESTRING (586690.5024092147 4516401.663216472, 586671.3190651677 4516361.725368883, 586666.6817950505 4516352.0675171, 586654.825822561 4516329.823875028)",primary,,,80.291,,Broadway,True,"[421853621, 421853599]",,,,
994,,,"LINESTRING (586690.5024092147 4516401.663216472, 586699.9264883678 4516396.688789012, 586712.6533249661 4516389.965609602)",secondary,,,25.016,,West 95th Street,True,455675581,,,,
995,,,"LINESTRING (586731.5738371515 4516476.763482364, 586702.6270698726 4516492.389318116, 586651.9766578601 4516519.751524855, 586622.2574564823 4516535.801609805)",secondary,,3,124.07399999999998,,West 96th Street,False,"[420623123, 420623122, 68668555]",,,,
996,,,"LINESTRING (586731.5738371515 4516476.763482364, 586709.0886734888 4516435.654370517, 586690.5024092147 4516401.663216472)",primary,,,85.65700000000001,,Broadway,True,"[420623114, 420623116]",,,,
997,,,"LINESTRING (586731.5738371515 4516476.763482364, 586740.4300095473 4516472.00449617, 586751.7144973174 4516465.952818502)",secondary,,,22.828,,West 96th Street,False,420623125,,,,
998,,,,residential,,,126.774,,West 97th Street,True,46334579,,,,
999,,,"LINESTRING (586773.623754515 4516549.655016979, 586757.65559552 4516521.978311419, 586731.5738371515 4516476.763482364)",primary,,2,84.202,,Broadway,True,"[420623113, 196116982]",,,,
1000,,,,primary,,,81.613,,Broadway,True,196116982,,,,
1001,,,"LINESTRING (586814.1026068463 4516620.463346148, 586819.5189289276 4516617.629202411, 586828.8914307483 4516612.720951344)",residential,,,16.67,,West 98th Street,True,5670169,,,,
1002,,,,residential,,,129.683,,West 99th Street,True,5672977,,,,
1003,,,,primary,,,79.608,,Broadway,True,196116982,,,,
1004,,,,primary,,,79.967,,Broadway,True,196116982,,,,
